region,liga,temporada,equipo_local,equipo_visitante,resultado,local_jugador_1,visitante_jugador_1,local_jugador_2,visitante_jugador_2,local_jugador_3,visitante_jugador_3,local_jugador_4,visitante_jugador_4,local_jugador_5,visitante_jugador_5,local_jugador_6,visitante_jugador_6,local_jugador_7,visitante_jugador_7,local_jugador_8,visitante_jugador_8,local_jugador_9,visitante_jugador_9,local_jugador_10,visitante_jugador_10,local_jugador_11,visitante_jugador_11
Internacional,Champions League,2025,Athletic Club,Arsenal FC,"0:2
(0:0)",Simón,Raya,Paredes,Mosquera,Vivian,Gabriel,Boiro,Calafiori,Gorosabel,Timber,Vesga,Zubimendi,Jauregizar,Merino,Sancet,Rice,Berenguer,Eze,Williams,Madueke,Navarro,Gyökeres
Internacional,Champions League,2025,PSV Eindhoven,Union Saint-Gilloise,"1:3
(0:2)",Kovar,Scherpen,Flamingo,Burgess,Obispo,Mac Allister,Gasiorowski,Leysen,Dest,Rasmussen,Schouten,Zorgane,Veerman,Khalaili,Saibari,Niang,van Bommel,Ait El Hadj,Perišić,Rodríguez,Pepi,David
Internacional,Champions League,2025,Juventus de Turín,Borussia Dortmund,"4:4
(0:0)",Di Gregorio,Kobel,Kelly,Anton,Kalulu,Bensebaini,Bremer,Svensson,Cambiaso,Ryerson,Koopmeiners,Nmecha,McKennie,Sabitzer,Thuram,Couto,Yıldız,Adeyemi,Openda,Guirassy,David,Beier
Internacional,Champions League,2025,Real Madrid CF,Olympique de Marsella,"2:1
(1:1)",Courtois,Rulli,Militão,Balerdi,Huijsen,Medina,Carreras,Pavard,Alexander-.,Emerson,Tchouaméni,Kondogbia,Valverde,Højbjerg,Güler,O'Riley,Rodrygo,Weah,Mastantuono,Greenwood,Mbappé,Aubameyang
Internacional,Champions League,2025,SL Benfica,Qarabağ FK,"2:3
(2:1)",Trubin,Kochalski,Silva,Mustafazada,Otamendi,Medina,Dahl,Cafarquliyev,Dedić,Matheus Si.,Barrenechea,Bicalho,Ríos,Jankovic,Aursnes,Borges,Sudakov,Zoubir,Schjelderup,Leandro An.,Pavlidis,Durán
Internacional,Champions League,2025,Tottenham Hotspur,Villarreal CF,"1:0
(1:0)",Vicario,Luiz Júnior,Romero,Foyth,van de Ven,Veiga,Spence,Cardona,Porro,Mouriño,Bentancur,Comesaña,Sarr,Gueye,Bergvall,Buchanan,Simons,Pépé,Kudus,Pérez,Richarlison,Mikautadze
Internacional,Champions League,2025,Olympiacos El Pireo,Pafos FC,"0:0
(0:0)",Paschalakis,Michail,Pirola,David Luiz,Retsos,Luckassen,Ortega,Goldar,Rodinei,Bruno,Hezze,Šunjić,García,Pêpê,Chiquinho,Dragomir,Podence,Jajá,Strefezza,Correia,El Kaabi,Dimata
Internacional,Champions League,2025,SK Slavia Praga,FK Bodø/Glimt,"2:2
(1:0)",Stanek,Haikin,Zima,Gundersen,Holes,Aleesami,Mbodji,Bjørtuft,Oscar,Sjøvold,Sadílek,Berg,Zafeiris,Auklend,Doudera,Evjen,Kusej,Hauge,Provod,Jørgensen,Chory,Høgh
Internacional,Champions League,2025,Ajax de Ámsterdam,Inter de Milán,"0:2
(0:1)",Jaros,Sommer,Baas,de Vrij,Itakura,Akanji,Wijndal,Bastoni,Gaaei,Dimarco,Regeer,Dumfries,Klaassen,Çalhanoğlu,Taylor,Mkhitaryan,Edvardsen,Barella,Godts,Esposito,Weghorst,Thuram
Internacional,Champions League,2025,París Saint-Germain FC,Atalanta de Bérgamo,"4:0
(2:0)",Chevalier,Carnesecchi,Marquinhos,Hien,Pacho,Kossounou,Mendes,Djimsiti,Hakimi,de Roon,Vitinha,Pašalić,Neves,Musah,Ruiz,Bellanova,Mayulu,Bernasconi,Barcola,Maldini,Kvaratskhe.,De Ketelaere
Internacional,Champions League,2025,Bayern Múnich,Chelsea FC,"3:1
(2:1)",Neuer,Sánchez,Tah,Chalobah,Upamecano,Adarabioyo,Stanisic,Cucurella,Laimer,Gusto,Pavlovic,James,Kimmich,Caicedo,Díaz,Fernández,Olise,Palmer,Gnabry,Neto,Kane,João Pedro
