timestamp,dataset,model,f1_macro,accuracy,n_features,train_rows,params,notes,dataset_modified,precision_macro,recall_macro
2026-06-20 00:16:49.233465,training_dataset_fe_v1,LogisticRegression,0.3993,0.5361,61,12599,max_iter=3000,Baseline,,,
2026-06-20 00:16:54.293460,training_dataset_v1,RandomForest,0.4876,0.5262,61,12599,"n_estimators=500,max_depth=12,min_samples_leaf=5,class_weight=balanced",Baseline,,,
2026-06-20 00:17:04.213886,training_dataset.parquet,RandomForestClassifier,0.482,0.5206,55,12599,"n_estimators=500,max_depth=10,min_samples_leaf=5,min_samples_split=2,class_weight=balanced",Feature Engineering v1,,,
2026-06-20 00:17:14.289987,training_dataset.parquet,RandomForestTuned,0.4857,0.5183,55,12599,"n_estimators=500,max_depth=10,min_samples_leaf=5,min_samples_split=2,class_weight=balanced",Feature Engineering v1,,,
2026-06-20 00:17:21.662738,training_dataset.parquet,HistGradientBoosting,0.4048,0.5369,55,12599,"learning_rate=0.05,max_depth=6,max_iter=300,min_samples_leaf=20",Feature Engineering v1,,,
2026-06-20 14:05:51.757653,training_dataset.parquet,RandomForestTuned,0.4857,0.5183,55,12599,"n_estimators=500,max_depth=10,min_samples_leaf=5,min_samples_split=2,class_weight=balanced",Feature Engineering v1,,,
2026-06-20 14:05:59.759294,training_dataset.parquet,HistGradientBoosting,0.4048,0.5369,55,12599,"learning_rate=0.05,max_depth=6,max_iter=300,min_samples_leaf=20",Feature Engineering v1,,,
2026-06-20 14:38:48.302357,training_dataset.parquet,RandomForestTuned,0.4792,0.5107,66,12599,"n_estimators=500,max_depth=10,min_samples_leaf=5,min_samples_split=2,class_weight=balanced",Feature Engineering v1,,,
2026-06-20 14:39:03.113616,training_dataset.parquet,RandomForestTuned,0.4792,0.5107,66,12599,"n_estimators=500,max_depth=10,min_samples_leaf=5,min_samples_split=2,class_weight=balanced",Feature Engineering v1,,,
2026-06-20 14:39:18.764150,training_dataset.parquet,HistGradientBoosting,0.4094,0.5321,66,12599,"learning_rate=0.05,max_depth=6,max_iter=300,min_samples_leaf=20",Feature Engineering v1,,,
2026-06-20 15:28:24.161162,training_dataset.parquet,RandomForestTuned,0.483,0.5147,72,12599,"n_estimators=500,max_depth=10,min_samples_leaf=5,min_samples_split=2,class_weight=balanced",Feature Engineering v1,,,
2026-06-21 13:40:16.722354,training_dataset.parquet,Random Forest,0.483,0.5147,72,10079,"n_estimators=500,max_depth=10,min_samples_leaf=5,min_samples_split=2,class_weight=balanced",Feature Engineering v1,2026-06-20 15:27:30,0.4818,0.4871
2026-06-21 17:53:55.555133,training_dataset.parquet,XGBoost,0.4379,0.5286,72,10079,"n_estimators=500,max_depth=6,learning_rate=0.05,subsample=0.8,colsample_bytree=0.8",Feature Engineering v1,2026-06-20 15:27:30,0.4524,0.4658
2026-06-21 17:58:18.375007,training_dataset.parquet,LightGBM,0.4509,0.529,72,10079,"n_estimators=500,learning_rate=0.05,max_depth=6",Feature Engineering v1,2026-06-20 15:27:30,0.4675,0.4715
2026-06-21 18:02:12.947730,training_dataset.parquet,LightGBM,0.4509,0.529,72,10079,"n_estimators=500,learning_rate=0.05,max_depth=6",Feature Engineering v1,2026-06-20 15:27:30,0.4675,0.4715
2026-06-22 11:52:58.487498,training_dataset.parquet,Random Forest,0.4824,0.5143,76,10079,"n_estimators=500,max_depth=10,min_samples_leaf=5,min_samples_split=2,class_weight=balanced",Feature Engineering v1,2026-06-22 11:52:15,0.481,0.4868
2026-06-22 12:01:42.375526,training_dataset.parquet,Random Forest,0.4815,0.5123,81,10079,"n_estimators=500,max_depth=10,min_samples_leaf=5,min_samples_split=2,class_weight=balanced",Feature Engineering v1,2026-06-22 12:01:21,0.4806,0.4857
2026-06-22 13:12:29.056444,training_dataset.parquet,Random Forest,0.4755,0.5087,87,10079,"n_estimators=500,max_depth=10,min_samples_leaf=5,min_samples_split=2,class_weight=balanced",Feature Engineering v1,2026-06-22 13:12:10,0.4739,0.48
2026-06-22 17:36:37.628682,training_dataset.parquet,XGBoost,0.445,0.5286,87,10079,"n_estimators=500,max_depth=6,learning_rate=0.05,subsample=0.8,colsample_bytree=0.8",Feature Engineering v1,2026-06-22 15:45:28,0.4654,0.4684
2026-06-22 17:36:59.347419,training_dataset.parquet,LightGBM,0.4488,0.5246,87,10079,"n_estimators=500,learning_rate=0.05,max_depth=6",Feature Engineering v1,2026-06-22 15:45:28,0.4622,0.468
2026-06-22 18:09:09.834511,training_dataset.parquet,Random Forest,0.4858,0.5143,30,10079,"n_estimators=500,max_depth=10,min_samples_leaf=5,min_samples_split=2,class_weight=balanced",Feature Engineering v1,2026-06-22 15:45:28,0.4851,0.489
